mgrs,Date,Incident Type,Incident Category,Target Category,target,force_type,date_time_occ,mgrs_X,mgrs_Y,City,Province
38SMB4516086155,9-May-08,Enemy Action,Indirect Fire,Property,Host Nation,CF,5/9/2008 16:49,44.41086185,33.31311837,Karkh,Baghdad
38SLF312247,9-May-08,Enemy Action,Direct Fire,Patrol,Host Nation,ISF,5/9/2008 16:53,43.11879153,36.35259065,Mosul,Ninewa
38SMB4738691840,9-May-08,Explosive Hazard,Unexploded Ordnance,NULL,NULL,CF,5/9/2008 16:54,44.4344431,33.364505,Al Sadr,Baghdad
38SMB4280,9-May-08,Enemy Action,Direct Fire,NULL,NULL,,5/9/2008 17:00,44.3773105,33.25743818,Karkh,Baghdad
38SMB5189,9-May-08,Enemy Action,Indirect Fire,NULL,NULL,,5/9/2008 17:00,44.47344336,33.33906055,Al Sadr,Baghdad
38SMB3393293292,9-May-08,Enemy Action,Direct Fire,Patrol,Host Nation,ISF,5/9/2008 17:05,44.28972601,33.37685783,Khadamiya,Baghdad
38SMB2348084560,9-May-08,Enemy Action,Direct Fire,Patrol,Coalition,CF,5/9/2008 17:07,44.17810962,33.29741051,Abu Ghraib,Baghdad
38SMB5589,9-May-08,Enemy Action,Indirect Fire,NULL,NULL,,5/9/2008 17:10,44.51642619,33.33923534,Al Sadr,Baghdad
38SMB51849344,9-May-08,Enemy Action,Indirect Fire,Base/Station,Coalition,CF,5/9/2008 17:13,44.48223264,33.37914501,Al Sadr,Baghdad
38SMB3383687422,9-May-08,Explosive Hazard,IED Explosion,Patrol,Coalition,CF,5/9/2008 17:15,44.28912445,33.32390937,Karkh,Baghdad
38SMB3779,9-May-08,Enemy Action,Indirect Fire,NULL,NULL,,5/9/2008 17:23,44.32370298,33.24813842,Karkh,Baghdad
38SMB5010090000,9-May-08,Explosive Hazard,IED Explosion,Patrol,Coalition,CF,5/9/2008 17:23,44.463717,33.34803865,Al Sadr,Baghdad
38SMB4490,9-May-08,Explosive Hazard,Unknown Explosion,NULL,NULL,,5/9/2008 17:30,44.39816233,33.34773825,Al Resafa,Baghdad
38SMB4790,9-May-08,Enemy Action,Indirect Fire,NULL,NULL,,5/9/2008 17:30,44.43040221,33.34789031,Al Resafa,Baghdad
38SMB3156187439,9-May-08,Explosive Hazard,Unexploded Ordnance,NULL,NULL,CF,5/9/2008 17:36,44.26468196,33.32392043,Karkh,Baghdad
38SMB4486,9-May-08,Enemy Action,Indirect Fire,NULL,NULL,,5/9/2008 17:45,44.39841033,33.31166065,Karkh,Baghdad
38SMB6201081840,9-May-08,Enemy Action,Direct Fire,Other,Civilian,ISF,5/9/2008 17:53,44.59205525,33.27492471,Mada'in,Baghdad
38SMB5084,9-May-08,Enemy Action,Sniper Ops,NULL,NULL,,5/9/2008 18:00,44.46297433,33.29391692,Al Resafa,Baghdad
38SMB4252076100,9-May-08,Friendly Fire,Green-Green,NULL,NULL,CF,5/9/2008 18:28,44.38314005,33.22228994,Karkh,Baghdad
38SMB4088,9-May-08,Enemy Action,Indirect Fire,NULL,NULL,,5/9/2008 18:45,44.35530913,33.32948385,Karkh,Baghdad
38SMB5580093600,9-May-08,Enemy Action,Direct Fire,TCP,Coalition,CF,5/9/2008 18:46,44.52479735,33.38075842,Al Sadr,Baghdad
38SMB4820291452,9-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,CF,5/9/2008 18:59,44.44323635,33.36104511,Al Sadr,Baghdad
38SMC9512,9-May-08,Enemy Action,Indirect Fire,NULL,NULL,,5/9/2008 19:00,44.94614071,33.5476189,Baladrooz,Diyala
38SMB4490,9-May-08,Enemy Action,Indirect Fire,NULL,NULL,,5/9/2008 19:05,44.39816233,33.34773825,Al Resafa,Baghdad
38SMB5548893424,9-May-08,Enemy Action,Indirect Fire,Base/Station,Coalition,CF,5/9/2008 19:07,44.52145177,33.3791581,Al Sadr,Baghdad
38SLC9268161283,9-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,CF,5/9/2008 19:10,43.83809484,33.98664016,Balad,Salah al-Din
38SMC4462849633,9-May-08,Enemy Action,Indirect Fire,Base/Station,Coalition,CF,5/9/2008 19:14,44.40120309,33.88560023,Balad,Salah al-Din
38SMC9512,9-May-08,Explosive Hazard,Unexploded Ordnance,NULL,NULL,,5/9/2008 19:15,44.94614071,33.5476189,Baladrooz,Diyala
38SMC9512,9-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,,5/9/2008 19:30,44.94614071,33.5476189,Baladrooz,Diyala
38SMB3677538641,9-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,CF,5/9/2008 19:40,44.32407638,32.88410121,Al-Mahawil,Babylon
38SMB5474783501,9-May-08,Enemy Action,Indirect Fire,Base/Station,Coalition,CF,5/9/2008 19:45,44.51398282,33.28962596,Al Resafa,Baghdad
38SLF3691028540,9-May-08,Explosive Hazard,Unknown Explosion,Base,Host Nation,ISF,5/9/2008 20:10,43.18159243,36.38817702,Al-Hamdaniya,Ninewa
38SLC84944130,9-May-08,Explosive Hazard,IED Hoax,NULL,NULL,CF,5/9/2008 20:15,43.75692007,33.80563476,Balad,Salah al-Din
38SMB5399090910,9-May-08,Enemy Action,Indirect Fire,Base/Station,Coalition,CF,5/9/2008 20:19,44.50547561,33.35641992,Al Sadr,Baghdad
38SMB3415592874,9-May-08,Enemy Action,Direct Fire,TCP,Coalition,CF,5/9/2008 20:22,44.29215379,33.37310152,Khadamiya,Baghdad
37SFS20285613,9-May-08,Explosive Hazard,IED Explosion,Other,Civilian,CF,5/9/2008 20:30,40.28807025,33.03703657,Al-Rutba,Anbar
38SME442273,9-May-08,Explosive Hazard,IED Explosion,NULL,NULL,,5/9/2008 20:30,44.38483607,35.48767093,Kirkuk,Tameem
38SMC0326768689,9-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,CF,5/9/2008 20:53,43.95186737,34.05445173,Balad,Salah al-Din
38SMB4578394939,9-May-08,Explosive Hazard,IED Explosion,Patrol,Coalition,CF,5/9/2008 21:05,44.41702647,33.39237632,Adhamiya,Baghdad
38SLF378278,9-May-08,Enemy Action,Indirect Fire,NULL,NULL,,5/9/2008 21:20,43.19166566,36.38165962,Al-Hamdaniya,Ninewa
38SMB3192,9-May-08,Enemy Action,Direct Fire,NULL,NULL,,5/9/2008 21:20,44.25830625,33.36502081,Khadamiya,Baghdad
38SLF3030024300,9-May-08,Explosive Hazard,IED Explosion,Patrol,Host Nation,ISF,5/9/2008 21:45,43.10885351,36.34882815,Mosul,Ninewa
38SLF2889336046,9-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,CF,5/9/2008 21:45,43.09059324,36.4544143,Tilkaif,Ninewa
38SMB5651075840,9-May-08,Enemy Action,Direct Fire,Unit/Group,Civilian,CLC,5/9/2008 22:12,44.53328441,33.22059857,Mada'in,Baghdad
38RQU716797,9-May-08,Explosive Hazard,IED Explosion,Property,Civilian,ISF,5/9/2008 22:15,47.8303178,30.51895123,Basrah,Basrah
38SMB4742093480,9-May-08,Enemy Action,Direct Fire,Patrol,Coalition,CF,5/9/2008 22:15,44.43471288,33.37929848,Al Sadr,Baghdad
38SME2321015300,9-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,CF,5/9/2008 22:21,44.1545841,35.37807976,Kirkuk,Tameem
38SLD785308,9-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,,5/9/2008 23:00,43.67478691,34.61186545,Tikrit,Salah al-Din
38SLB8852085691,9-May-08,Explosive Hazard,IED Hoax,NULL,NULL,CF,5/9/2008 23:14,43.80253001,33.30455963,Falluja,Anbar
38SMB3454293057,9-May-08,Enemy Action,Direct Fire,TCP,Coalition,CF,5/9/2008 23:20,44.29630054,33.37477567,Khadamiya,Baghdad
38SMB5555193533,9-May-08,Enemy Action,Direct Fire,Patrol,Coalition,CF,5/9/2008 23:24,44.52212369,33.38014383,Al Sadr,Baghdad
38SLF285245,9-May-08,Enemy Action,Direct Fire,NULL,NULL,,5/9/2008 23:30,43.08876017,36.35031114,Mosul,Ninewa
38RPV7616,9-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,,5/9/2008 23:30,46.84083178,30.86417493,Al-Chibayish,Thi-Qar
38SMB2686,9-May-08,Enemy Action,Direct Fire,NULL,NULL,,5/9/2008 23:55,44.20505645,33.31057401,Karkh,Baghdad
38SLD784292,9-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,,5/9/2008 23:59,43.67392583,34.59742863,Tikrit,Salah al-Din
38SMC1043365085,10-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,CF,5/10/2008 2:47,44.02987318,34.02258993,Balad,Salah al-Din
38SMB4078493032,10-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,CF,5/10/2008 3:00,44.36340237,33.37491245,Adhamiya,Baghdad
38SMB4585986658,10-May-08,Explosive Hazard,IED Explosion,Property,Civilian,CF,5/10/2008 3:15,44.41834064,33.31769053,Al Resafa,Baghdad
38SLB94848370,10-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,CF,5/10/2008 3:57,43.87063631,33.28724003,Falluja,Anbar
38SMB5254,10-May-08,Enemy Action,Direct Fire,NULL,NULL,,5/10/2008 4:15,44.4860355,33.02341438,Mahmoudiya,Baghdad
38SME21910810,10-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,CF,5/10/2008 5:00,44.14096076,35.31306423,Kirkuk,Tameem
38SMB4517086569,10-May-08,Enemy Action,Indirect Fire,Base,Infrastructure,CF,5/10/2008 5:39,44.41094416,33.31685293,Karkh,Baghdad
38SLF26892219,10-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,CF,5/10/2008 6:39,43.07134048,36.32920905,Mosul,Ninewa
38SLF321218,10-May-08,Enemy Action,Direct Fire,NULL,NULL,,5/10/2008 7:00,43.129442,36.32661734,Mosul,Ninewa
38SLE471821,10-May-08,Explosive Hazard,IED Explosion,Patrol,Host Nation,ISF,5/10/2008 7:10,43.30420741,35.97134954,Mosul,Ninewa
38SLF312247,10-May-08,Enemy Action,Direct Fire,Patrol,Host Nation,ISF,5/10/2008 7:18,43.11879153,36.35259065,Mosul,Ninewa
38SMB4745293346,10-May-08,Enemy Action,Direct Fire,Security,Coalition,CF,5/10/2008 7:32,44.43506472,33.37809145,Al Sadr,Baghdad
38SLF3909528515,10-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,CF,5/10/2008 7:53,43.20594888,36.3883201,Al-Hamdaniya,Ninewa
38SMB5270080500,10-May-08,Explosive Hazard,IED Explosion,Patrol,Host Nation,ISF,5/10/2008 8:10,44.49215552,33.26247017,Al Resafa,Baghdad
38SMB5447091060,10-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,CF,5/10/2008 8:14,44.510627,33.35779329,Al Sadr,Baghdad
38SMB1986385425,10-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,ISF,5/10/2008 8:30,44.13918703,33.30494889,Abu Ghraib,Baghdad
38SMB5274093370,10-May-08,Enemy Action,Direct Fire,Convoy,Coalition,CF,5/10/2008 8:38,44.49191186,33.37855363,Al Sadr,Baghdad
38SMB4804193007,10-May-08,Enemy Action,Direct Fire,Base,Coalition,CF,5/10/2008 8:38,44.44141625,33.37506253,Al Sadr,Baghdad
38SMB4587,10-May-08,Enemy Action,Indirect Fire,NULL,NULL,,5/10/2008 8:50,44.40909165,33.32073163,Al Resafa,Baghdad
